ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,Two Sum,45.6%,Easy,0.900096464956218, https://leetcode.com/problems/two-sum
110,Balanced Binary Tree,43.5%,Easy,0.0157428474325103, https://leetcode.com/problems/balanced-binary-tree
191,Number of 1 Bits,49.8%,Easy,0.0167352362404584, https://leetcode.com/problems/number-of-1-bits
415,Add Strings,47.5%,Easy,0.0169911582472193, https://leetcode.com/problems/add-strings
168,Excel Sheet Column Title,31.1%,Easy,0.0173464887238537, https://leetcode.com/problems/excel-sheet-column-title
993,Cousins in Binary Tree,52.0%,Easy,0.0174144583686365, https://leetcode.com/problems/cousins-in-binary-tree
136,Single Number,65.5%,Easy,0.0178016663368262, https://leetcode.com/problems/single-number
234,Palindrome Linked List,39.3%,Easy,0.0180124198964555, https://leetcode.com/problems/palindrome-linked-list
197,Rising Temperature,38.4%,Easy,0.0181988644174065, https://leetcode.com/problems/rising-temperature
235,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.0183941421559744, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
169,Majority Element,58.7%,Easy,0.0186943170548811, https://leetcode.com/problems/majority-element
112,Path Sum,41.2%,Easy,0.0217016518974607, https://leetcode.com/problems/path-sum
107,Binary Tree Level Order Traversal II,53.5%,Easy,0.0254507136033726, https://leetcode.com/problems/binary-tree-level-order-traversal-ii
709,To Lower Case,79.3%,Easy,0.0278053130803368, https://leetcode.com/problems/to-lower-case
35,Search Insert Position,42.6%,Easy,0.0286947266920136, https://leetcode.com/problems/search-insert-position
1108,Defanging an IP Address,87.5%,Easy,0.0290138211907157, https://leetcode.com/problems/defanging-an-ip-address
70,Climbing Stairs,47.8%,Easy,0.030111560543284, https://leetcode.com/problems/climbing-stairs
13,Roman to Integer,55.7%,Easy,0.0304437514147231, https://leetcode.com/problems/roman-to-integer
617,Merge Two Binary Trees,74.1%,Easy,0.0326492986676611, https://leetcode.com/problems/merge-two-binary-trees
543,Diameter of Binary Tree,48.4%,Easy,0.0327083055723938, https://leetcode.com/problems/diameter-of-binary-tree
198,House Robber,42.0%,Easy,0.033320991026093, https://leetcode.com/problems/house-robber
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0334531795866865, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
977,Squares of a Sorted Array,72.1%,Easy,0.0344861760711693, https://leetcode.com/problems/squares-of-a-sorted-array
20,Valid Parentheses,39.0%,Easy,0.0361887174223911, https://leetcode.com/problems/valid-parentheses
389,Find the Difference,55.3%,Easy,0.0378037455558777, https://leetcode.com/problems/find-the-difference
344,Reverse String,68.5%,Easy,0.0393340697038369, https://leetcode.com/problems/reverse-string
686,Repeated String Match,32.3%,Easy,0.0398459085471996, https://leetcode.com/problems/repeated-string-match
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.0418033698043605, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
155,Min Stack,44.5%,Easy,0.0419495271276324, https://leetcode.com/problems/min-stack
448,Find All Numbers Disappeared in an Array,55.9%,Easy,0.0421434350825505, https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
1002,Find Common Characters,67.6%,Easy,0.0152733018618338, https://leetcode.com/problems/find-common-characters
669,Trim a Binary Search Tree,63.0%,Easy,0.0425596144187959, https://leetcode.com/problems/trim-a-binary-search-tree
561,Array Partition I,72.0%,Easy,0.0151863207079855, https://leetcode.com/problems/array-partition-i
404,Sum of Left Leaves,50.9%,Easy,0.0139813532303405, https://leetcode.com/problems/sum-of-left-leaves
283,Move Zeroes,57.8%,Easy,0.0028853803470673, https://leetcode.com/problems/move-zeroes
66,Plus One,43.0%,Easy,0.0032621134783293, https://leetcode.com/problems/plus-one
28,Implement strStr(),34.5%,Easy,0.00394322277504, https://leetcode.com/problems/implement-strstr
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0043851171418508, https://leetcode.com/problems/remove-duplicates-from-sorted-array
1470,Shuffle the Array,88.9%,Easy,0.004527967890154, https://leetcode.com/problems/shuffle-the-array
237,Delete Node in a Linked List,63.8%,Easy,0.0051447058812376, https://leetcode.com/problems/delete-node-in-a-linked-list
104,Maximum Depth of Binary Tree,66.0%,Easy,0.0062617612239762, https://leetcode.com/problems/maximum-depth-of-binary-tree
83,Remove Duplicates from Sorted List,45.4%,Easy,0.0063532615226094, https://leetcode.com/problems/remove-duplicates-from-sorted-list
67,Add Binary,45.2%,Easy,0.0066315988881455, https://leetcode.com/problems/add-binary
118,Pascal's Triangle,52.5%,Easy,0.006749941254175, https://leetcode.com/problems/pascals-triangle
9,Palindrome Number,48.4%,Easy,0.0068223430171665, https://leetcode.com/problems/palindrome-number
